x,y,z
-0.942282,-0.070341,0.774457
-0.929754,-0.0708282,0.804628
-0.374559,-0.025187,0.367207
-0.308395,-0.0200684,0.32454
-0.300954,-0.0199131,0.332532
-0.300329,-0.0203457,0.347421
-0.181607,-0.0105675,0.25877
-0.164091,-0.00917515,0.248651
-0.334255,-0.0261094,0.484324
-0.328464,-0.0260766,0.501057
-0.305202,-0.0242567,0.493004
-0.283137,-0.0224843,0.484895
-0.291696,-0.0238395,0.525496
-0.279037,-0.0229712,0.532991
-0.266191,-0.0220416,0.54015
-0.244198,-0.0200698,0.529121
-0.227224,-0.0185834,0.526326
-0.156408,-0.0109766,0.39947
-0.194632,-0.0155994,0.520015
-0.192411,-0.0156591,0.552068
-0.182409,-0.0147969,0.566382
-0.183337,-0.015205,0.61669
-0.136033,-0.00978839,0.509976
-0.0868275,-0.00398398,0.372234
-0.180241,-0.0720504,0.0457697
-0.188261,-0.0759352,0.051142
-0.187916,-0.0761403,0.0564508
-0.205646,-0.0843979,0.063451
-0.222223,-0.0922085,0.0713705
-0.370491,-0.164287,0.179105
-0.330167,-0.146899,0.185915
-0.318124,-0.141896,0.191437
-0.306066,-0.136839,0.196376
-0.318414,-0.143277,0.213827
-0.314071,-0.141838,0.222907
-0.309519,-0.140284,0.231865
-0.304764,-0.138614,0.240695
-0.217918,-0.0974563,0.192887
-0.214189,-0.0960834,0.199083
-0.202937,-0.0910497,0.199455
-0.199075,-0.0895684,0.205221
-0.174517,-0.0779567,0.193074
-0.170841,-0.0764958,0.198023
-0.193507,-0.0880021,0.228389
-0.188985,-0.0861472,0.233888
-0.184342,-0.0842147,0.239257
-0.173296,-0.0790697,0.237376
-0.174707,-0.0801204,0.249592
-0.175657,-0.0809449,0.262025
-0.153701,-0.0702088,0.244836
-0.127144,-0.0570522,0.218718
-0.122945,-0.0551671,0.222302
-0.123857,-0.055877,0.233893
-0.0948558,-0.0412451,0.196818
-0.091213,-0.0395562,0.199468
-0.0875155,-0.0378244,0.202012
-0.083766,-0.0360508,0.204447
-0.075787,-0.0320576,0.197954
-0.0685774,-0.0284346,0.192003
-0.0722326,-0.0304895,0.211091
-0.0647576,-0.0266899,0.203917
-0.0610052,-0.0248306,0.205687
-0.0572194,-0.0229382,0.207348
-0.0562934,-0.0225562,0.218344
-0.0677079,-0.0287807,0.27514
-0.0718617,-0.0311486,0.314445
-0.10223,-0.0476852,0.476049
-0.0961803,-0.0446133,0.498327
-0.073604,-0.0325265,0.434336
-0.064571,-0.0277412,0.436302
0.886023,0.566721,0.979103
0.918394,0.589224,0.964141
0.937446,0.603415,0.935263
0.975306,0.629688,0.923277
-0.155803,-0.145374,0.0465911
-0.148397,-0.138483,0.0518059
-0.147989,-0.138538,0.0571139
-0.154518,-0.145546,0.0632956
-0.153884,-0.145395,0.0688431
-0.15315,-0.145139,0.0743739
-0.145385,-0.137763,0.078223
-0.151381,-0.144312,0.0853704
-0.150348,-0.143742,0.0908285
-0.142434,-0.136133,0.093825
-0.147992,-0.142286,0.101646
-0.127345,-0.121523,0.0984883
-0.11359,-0.107736,0.0970259
-0.105897,-0.100135,0.097672
-0.104736,-0.0992673,0.101465
-0.0907671,-0.0850479,0.0973842
-0.0839852,-0.0782481,0.0968764
-0.0828856,-0.0773628,0.0998583
-0.0817356,-0.076418,0.102802
-0.0859466,-0.0811249,0.110078
-0.0846093,-0.079986,0.113145
-0.0832212,-0.078785,0.116164
